seed,condition,facts,item,depth,stem,correct,wrong,margin
0,warm,A,3,0.2727,The eastern pumping station runs on circuit label,MU37,CA25,-0.42666196823120117
0,warm,A,4,0.3636,The radio operator's logbook continues in volume,SE46,WG87,0.4679718017578125
0,warm,A,5,0.4545,The survey team's theodolite bears serial number,ED89,UD60,0.7580995559692383
0,warm,A,6,0.5455,The seismograph at Ridge Camp reports as instrument,JT87,CM24,0.4411897659301758
0,warm,A,7,0.6364,The winter quarters roof panel came from batch,LR81,BV12,0.1816110610961914
0,warm,A,8,0.7273,The customs declaration quotes reference code,DM65,GF25,0.03666067123413086
0,warm,A,9,0.8182,The reserve fuel depot is listed at site code,LV91,RG17,0.19560670852661133
0,warm,A,10,0.9091,The ice core drilling rig was delivered as unit,GT71,PV22,0.6306910514831543
0,warm,A,11,1.0,The mail packet from Vlissen came in pouch number,QS43,JC38,-0.8724379539489746
0,warm,B,0,0.0,The freight siding at Kelder appears on the plan as track,BT11,CW48,19.36752608185634
0,warm,B,1,0.0909,The auxiliary generator was tagged asset number,AV73,MP33,16.622260889038444
0,warm,B,2,0.1818,Feld's field notebook carries catalogue reference,LH51,BS69,16.92453404329717
0,warm,B,3,0.2727,Ansel's transit permit was issued as document number,ET67,BV22,18.23444003541954
0,warm,B,4,0.3636,The winter supply manifest lists lot number,CC50,JM70,17.60769282549154
0,warm,B,5,0.4545,The medical supply locker was closed with seal number,SR23,UF99,20.213337942725047
0,warm,B,6,0.5455,The archive microfilm reel is filed under shelf mark,KT47,LS42,16.29403552878648
0,warm,B,7,0.6364,The meteorological buoy broadcasts on transponder code,LT36,DV66,18.32248545193579
0,warm,B,8,0.7273,The observatory's spare mirror was ordered as part number,VT85,RX62,19.036299898056313
0,warm,B,9,0.8182,The lighthouse relief roster follows schedule,FG33,US49,18.723477626219392
0,warm,B,10,0.9091,The northern relay station operates under callsign,BV94,WM59,21.03082399093546
0,warm,B,11,1.0,The telegraph repeater hut answers to station code,JR18,TY11,17.749569079838693
0,mismatched,A,0,0.0,The quartermaster's tally sheet uses form number,NP15,PB22,-1.8610553741455078
0,mismatched,A,1,0.0909,The diesel storage tank is stencilled vessel number,JS72,BU91,-0.7322578430175781
0,mismatched,A,2,0.1818,The harbour pilot's licence shows registration code,NK71,TV97,0.5347347259521484
0,mismatched,A,3,0.2727,The eastern pumping station runs on circuit label,MU37,CA25,-0.4175543785095215
0,mismatched,A,4,0.3636,The radio operator's logbook continues in volume,SE46,WG87,0.7542643547058105
0,mismatched,A,5,0.4545,The survey team's theodolite bears serial number,ED89,UD60,1.175549030303955
0,mismatched,A,6,0.5455,The seismograph at Ridge Camp reports as instrument,JT87,CM24,0.4609837532043457
0,mismatched,A,7,0.6364,The winter quarters roof panel came from batch,LR81,BV12,-0.06795120239257812
0,mismatched,A,8,0.7273,The customs declaration quotes reference code,DM65,GF25,0.1473846435546875
0,mismatched,A,9,0.8182,The reserve fuel depot is listed at site code,LV91,RG17,0.19477605819702148
0,mismatched,A,10,0.9091,The ice core drilling rig was delivered as unit,GT71,PV22,-0.2818875312805176
0,mismatched,A,11,1.0,The mail packet from Vlissen came in pouch number,QS43,JC38,-0.679358959197998
0,mismatched,B,0,0.0,The freight siding at Kelder appears on the plan as track,BT11,CW48,19.698810369125567
0,mismatched,B,1,0.0909,The auxiliary generator was tagged asset number,AV73,MP33,16.1573669007048
0,mismatched,B,2,0.1818,Feld's field notebook carries catalogue reference,LH51,BS69,16.31178542226553
0,mismatched,B,3,0.2727,Ansel's transit permit was issued as document number,ET67,BV22,17.858466169331223
0,mismatched,B,4,0.3636,The winter supply manifest lists lot number,CC50,JM70,18.03407578112092
0,mismatched,B,5,0.4545,The medical supply locker was closed with seal number,SR23,UF99,19.767522608395666
0,mismatched,B,6,0.5455,The archive microfilm reel is filed under shelf mark,KT47,LS42,15.480244255624712
0,mismatched,B,7,0.6364,The meteorological buoy broadcasts on transponder code,LT36,DV66,15.988113443367183
0,mismatched,B,8,0.7273,The observatory's spare mirror was ordered as part number,VT85,RX62,17.303424446261488
0,mismatched,B,9,0.8182,The lighthouse relief roster follows schedule,FG33,US49,18.17418021801859
0,mismatched,B,10,0.9091,The northern relay station operates under callsign,BV94,WM59,20.74125870852731
0,mismatched,B,11,1.0,The telegraph repeater hut answers to station code,JR18,TY11,18.056438078172505
1,cold,A,0,0.0,The cartography office safe opens with combination,EU18,TG74,-0.6523137092590332
1,cold,A,1,0.0909,The lighthouse relief roster follows schedule,JD73,PR55,-0.7163944244384766
1,cold,A,2,0.1818,The sealed crate in the annex is marked with inventory tag,QR93,PM10,0.9619574546813965
1,cold,A,3,0.2727,The telegraph repeater hut answers to station code,NG22,TT89,-0.8118195533752441
1,cold,A,4,0.3636,The customs declaration quotes reference code,RA59,VL68,0.3954811096191406
1,cold,A,5,0.4545,The seismograph at Ridge Camp reports as instrument,PV10,VA39,0.06466817855834961
1,cold,A,6,0.5455,The archive microfilm reel is filed under shelf mark,DL13,WF80,0.011017799377441406
1,cold,A,7,0.6364,The radio operator's logbook continues in volume,AA93,UF21,-0.20294475555419922
1,cold,A,8,0.7273,The expedition's spare sledge carries equipment tag,TA58,TJ14,-0.8038663864135742
1,cold,A,9,0.8182,The quartermaster's tally sheet uses form number,HQ73,XC20,0.6189069747924805
1,cold,A,10,0.9091,The hydrographic chart set reached edition,TH54,AQ11,-1.4763431549072266
1,cold,A,11,1.0,Feld's field notebook carries catalogue reference,HX38,DV33,-0.9328656196594238
1,cold,B,0,0.0,The reserve fuel depot is listed at site code,PT92,MK18,15.427631020313129
1,cold,B,1,0.0909,The botanical specimen case holds accession number,DF90,FF42,15.546438196557574
1,cold,B,2,0.1818,The border checkpoint ledger opens at entry code,PS95,SF94,14.83208699314855
1,cold,B,3,0.2727,The winter supply manifest lists lot number,GK46,JW47,15.85219765896909
1,cold,B,4,0.3636,The mail packet from Vlissen came in pouch number,UR74,RR24,15.989040410029702
1,cold,B,5,0.4545,The medical supply locker was closed with seal number,NU14,AK59,14.015486875548959
1,cold,B,6,0.5455,The harbour pilot's licence shows registration code,RH61,LP34,15.546179213095456
1,cold,B,7,0.6364,The signal lamp housing takes fitting code,PX32,JD42,15.238164193928242
1,cold,B,8,0.7273,The glacier survey stake is recorded as marker,MT99,VP12,16.42978837271221
1,cold,B,9,0.8182,The northern relay station operates under callsign,CQ94,HA60,17.234369053971022
1,cold,B,10,0.9091,The eastern pumping station runs on circuit label,SD30,EB30,15.546819865237921
1,cold,B,11,1.0,The observatory's spare mirror was ordered as part number,SN57,XP79,17.950406415155157
1,warm,A,0,0.0,The cartography office safe opens with combination,EU18,TG74,-1.3916831016540527
1,warm,A,1,0.0909,The lighthouse relief roster follows schedule,JD73,PR55,-1.5605168342590332
1,warm,A,2,0.1818,The sealed crate in the annex is marked with inventory tag,QR93,PM10,0.7370643615722656
1,warm,A,3,0.2727,The telegraph repeater hut answers to station code,NG22,TT89,-1.5096478462219238
1,warm,A,4,0.3636,The customs declaration quotes reference code,RA59,VL68,1.0072312355041504
1,warm,A,5,0.4545,The seismograph at Ridge Camp reports as instrument,PV10,VA39,0.7696528434753418
1,warm,A,6,0.5455,The archive microfilm reel is filed under shelf mark,DL13,WF80,-0.0726161003112793
1,warm,A,7,0.6364,The radio operator's logbook continues in volume,AA93,UF21,-0.2615337371826172
1,warm,A,8,0.7273,The expedition's spare sledge carries equipment tag,TA58,TJ14,-0.5502834320068359
1,warm,A,9,0.8182,The quartermaster's tally sheet uses form number,HQ73,XC20,0.9611458778381348
1,warm,A,10,0.9091,The hydrographic chart set reached edition,TH54,AQ11,0.2755165100097656
1,warm,A,11,1.0,Feld's field notebook carries catalogue reference,HX38,DV33,-1.0735177993774414
1,warm,B,0,0.0,The reserve fuel depot is listed at site code,PT92,MK18,14.373762540519238
1,warm,B,1,0.0909,The botanical specimen case holds accession number,DF90,FF42,13.8225486879237
1,warm,B,2,0.1818,The border checkpoint ledger opens at entry code,PS95,SF94,14.238755944184959
1,warm,B,3,0.2727,The winter supply manifest lists lot number,GK46,JW47,14.902186579885893
1,warm,B,4,0.3636,The mail packet from Vlissen came in pouch number,UR74,RR24,15.600152455735952
1,warm,B,5,0.4545,The medical supply locker was closed with seal number,NU14,AK59,15.50422159419395
1,warm,B,6,0.5455,The harbour pilot's licence shows registration code,RH61,LP34,16.57117850217037
1,warm,B,7,0.6364,The signal lamp housing takes fitting code,PX32,JD42,17.29145384207368
1,warm,B,8,0.7273,The glacier survey stake is recorded as marker,MT99,VP12,17.55317742866464
1,warm,B,9,0.8182,The northern relay station operates under callsign,CQ94,HA60,17.25523577950662
1,warm,B,10,0.9091,The eastern pumping station runs on circuit label,SD30,EB30,15.170824972679839
1,warm,B,11,1.0,The observatory's spare mirror was ordered as part number,SN57,XP79,16.703490110579878
1,mismatched,A,0,0.0,The cartography office safe opens with combination,EU18,TG74,-1.3224515914916992
1,mismatched,A,1,0.0909,The lighthouse relief roster follows schedule,JD73,PR55,-1.7106614112854004
1,mismatched,A,2,0.1818,The sealed crate in the annex is marked with inventory tag,QR93,PM10,0.3782501220703125
1,mismatched,A,3,0.2727,The telegraph repeater hut answers to station code,NG22,TT89,-1.7568039894104004
1,mismatched,A,4,0.3636,The customs declaration quotes reference code,RA59,VL68,1.072227954864502
1,mismatched,A,5,0.4545,The seismograph at Ridge Camp reports as instrument,PV10,VA39,1.2604331970214844
1,mismatched,A,6,0.5455,The archive microfilm reel is filed under shelf mark,DL13,WF80,-0.008988380432128906
1,mismatched,A,7,0.6364,The radio operator's logbook continues in volume,AA93,UF21,-0.2181086540222168
1,mismatched,A,8,0.7273,The expedition's spare sledge carries equipment tag,TA58,TJ14,-0.9004182815551758
1,mismatched,A,9,0.8182,The quartermaster's tally sheet uses form number,HQ73,XC20,1.2002811431884766
1,mismatched,A,10,0.9091,The hydrographic chart set reached edition,TH54,AQ11,0.25346803665161133
1,mismatched,A,11,1.0,Feld's field notebook carries catalogue reference,HX38,DV33,-0.23386430740356445
1,mismatched,B,0,0.0,The reserve fuel depot is listed at site code,PT92,MK18,15.907283372944221
1,mismatched,B,1,0.0909,The botanical specimen case holds accession number,DF90,FF42,13.8170211375691
1,mismatched,B,2,0.1818,The border checkpoint ledger opens at entry code,PS95,SF94,15.31418591644615
1,mismatched,B,3,0.2727,The winter supply manifest lists lot number,GK46,JW47,17.309744829311967
1,mismatched,B,4,0.3636,The mail packet from Vlissen came in pouch number,UR74,RR24,16.24527312081773
1,mismatched,B,5,0.4545,The medical supply locker was closed with seal number,NU14,AK59,17.173801162280142
1,mismatched,B,6,0.5455,The harbour pilot's licence shows registration code,RH61,LP34,17.435405879747123
1,mismatched,B,7,0.6364,The signal lamp housing takes fitting code,PX32,JD42,17.215210299007595
1,mismatched,B,8,0.7273,The glacier survey stake is recorded as marker,MT99,VP12,17.173848933307454
1,mismatched,B,9,0.8182,The northern relay station operates under callsign,CQ94,HA60,17.30126327567268
1,mismatched,B,10,0.9091,The eastern pumping station runs on circuit label,SD30,EB30,15.723040156532079
1,mismatched,B,11,1.0,The observatory's spare mirror was ordered as part number,SN57,XP79,17.04101856565103
2,cold,A,0,0.0,The meteorological buoy broadcasts on transponder code,BC20,AC24,0.00540924072265625
2,cold,A,1,0.0909,The salvage tender was registered with hull number,MF95,CA15,2.242361068725586
2,cold,A,2,0.1818,The medical supply locker was closed with seal number,GV14,JE30,-1.1279282569885254
2,cold,A,3,0.2727,The observatory's spare mirror was ordered as part number,UX30,ZF76,-1.2197117805480957
2,cold,A,4,0.3636,The cartography office safe opens with combination,PW60,YA59,1.9401941299438477
2,cold,A,5,0.4545,Feld's field notebook carries catalogue reference,JB13,UB41,1.004774570465088
2,cold,A,6,0.5455,The reserve fuel depot is listed at site code,MQ50,EB10,2.7105040550231934
2,cold,A,7,0.6364,The telegraph repeater hut answers to station code,NP77,MV90,0.2864689826965332
2,cold,A,8,0.7273,The northern relay station operates under callsign,FT32,KL72,-1.472752571105957
2,cold,A,9,0.8182,The archive microfilm reel is filed under shelf mark,HH13,AK67,-1.6985969543457031
2,cold,A,10,0.9091,The expedition's spare sledge carries equipment tag,FL32,TV15,-0.03224658966064453
2,cold,A,11,1.0,The survey team's theodolite bears serial number,ES75,YE70,0.06818485260009766
2,cold,B,0,0.0,The sealed crate in the annex is marked with inventory tag,MS96,HC94,16.961506555089727
2,cold,B,1,0.0909,The mail packet from Vlissen came in pouch number,TF67,XL23,18.099503204459324
2,cold,B,2,0.1818,The signal lamp housing takes fitting code,MU55,AQ26,19.524558751028962
2,cold,B,3,0.2727,The glacier survey stake is recorded as marker,MQ30,SU60,16.77219953457825
2,cold,B,4,0.3636,The winter quarters roof panel came from batch,NY69,RS51,18.10175610461738
2,cold,B,5,0.4545,Ansel's transit permit was issued as document number,WS41,EL43,18.986837530945195
2,cold,B,6,0.5455,The harbour pilot's licence shows registration code,RJ73,JV63,18.543275725329295
2,cold,B,7,0.6364,The diesel storage tank is stencilled vessel number,SS55,WA99,15.617549054324627
2,cold,B,8,0.7273,The assay laboratory furnace is a model,MU81,TE95,17.545803264714777
2,cold,B,9,0.8182,The coastal watchtower is designated post,JR49,EF31,16.601545315235853
2,cold,B,10,0.9091,The eastern pumping station runs on circuit label,KY74,DQ91,22.984278124407865
2,cold,B,11,1.0,The shipment of core samples travelled under consignment code,TS74,HS14,16.064125346252695
2,warm,A,0,0.0,The meteorological buoy broadcasts on transponder code,BC20,AC24,0.31510066986083984
2,warm,A,1,0.0909,The salvage tender was registered with hull number,MF95,CA15,2.2986254692077637
2,warm,A,2,0.1818,The medical supply locker was closed with seal number,GV14,JE30,-1.044827938079834
2,warm,A,3,0.2727,The observatory's spare mirror was ordered as part number,UX30,ZF76,-0.6258201599121094
2,warm,A,4,0.3636,The cartography office safe opens with combination,PW60,YA59,2.177598476409912
2,warm,A,5,0.4545,Feld's field notebook carries catalogue reference,JB13,UB41,-0.42697954177856445
2,warm,A,6,0.5455,The reserve fuel depot is listed at site code,MQ50,EB10,3.3194990158081055
2,warm,A,7,0.6364,The telegraph repeater hut answers to station code,NP77,MV90,0.10601663589477539
2,warm,A,8,0.7273,The northern relay station operates under callsign,FT32,KL72,-1.1247200965881348
2,warm,A,9,0.8182,The archive microfilm reel is filed under shelf mark,HH13,AK67,-1.2178993225097656
2,warm,A,10,0.9091,The expedition's spare sledge carries equipment tag,FL32,TV15,-1.1051902770996094
2,warm,A,11,1.0,The survey team's theodolite bears serial number,ES75,YE70,-0.1663045883178711
2,warm,B,0,0.0,The sealed crate in the annex is marked with inventory tag,MS96,HC94,18.567164167412557
2,warm,B,1,0.0909,The mail packet from Vlissen came in pouch number,TF67,XL23,18.038591731223278
2,warm,B,2,0.1818,The signal lamp housing takes fitting code,MU55,AQ26,21.025909327407135
2,warm,B,3,0.2727,The glacier survey stake is recorded as marker,MQ30,SU60,17.40063122729771
2,warm,B,4,0.3636,The winter quarters roof panel came from batch,NY69,RS51,19.659507144941017
2,warm,B,5,0.4545,Ansel's transit permit was issued as document number,WS41,EL43,19.19119612092618
2,warm,B,6,0.5455,The harbour pilot's licence shows registration code,RJ73,JV63,18.767079182667658
2,warm,B,7,0.6364,The diesel storage tank is stencilled vessel number,SS55,WA99,17.88282829086529
2,warm,B,8,0.7273,The assay laboratory furnace is a model,MU81,TE95,18.004174030560534
2,warm,B,9,0.8182,The coastal watchtower is designated post,JR49,EF31,18.715122746827547
2,warm,B,10,0.9091,The eastern pumping station runs on circuit label,KY74,DQ91,24.393482643470634
2,warm,B,11,1.0,The shipment of core samples travelled under consignment code,TS74,HS14,16.995999081991613
2,mismatched,A,0,0.0,The meteorological buoy broadcasts on transponder code,BC20,AC24,0.7219429016113281
2,mismatched,A,1,0.0909,The salvage tender was registered with hull number,MF95,CA15,2.997429370880127
2,mismatched,A,2,0.1818,The medical supply locker was closed with seal number,GV14,JE30,-2.239927291870117
2,mismatched,A,3,0.2727,The observatory's spare mirror was ordered as part number,UX30,ZF76,1.026190996170044
2,mismatched,A,4,0.3636,The cartography office safe opens with combination,PW60,YA59,1.5063443183898926
2,mismatched,A,5,0.4545,Feld's field notebook carries catalogue reference,JB13,UB41,-0.6676044464111328
2,mismatched,A,6,0.5455,The reserve fuel depot is listed at site code,MQ50,EB10,2.935669422149658
2,mismatched,A,7,0.6364,The telegraph repeater hut answers to station code,NP77,MV90,-0.07364416122436523
2,mismatched,A,8,0.7273,The northern relay station operates under callsign,FT32,KL72,-1.0085268020629883
2,mismatched,A,9,0.8182,The archive microfilm reel is filed under shelf mark,HH13,AK67,-0.9838624000549316
2,mismatched,A,10,0.9091,The expedition's spare sledge carries equipment tag,FL32,TV15,-0.895021915435791
2,mismatched,A,11,1.0,The survey team's theodolite bears serial number,ES75,YE70,-0.12777996063232422
2,mismatched,B,0,0.0,The sealed crate in the annex is marked with inventory tag,MS96,HC94,15.679104378912598
2,mismatched,B,1,0.0909,The mail packet from Vlissen came in pouch number,TF67,XL23,16.330442616250366
2,mismatched,B,2,0.1818,The signal lamp housing takes fitting code,MU55,AQ26,17.98071802407503
2,mismatched,B,3,0.2727,The glacier survey stake is recorded as marker,MQ30,SU60,17.47991966502741
2,mismatched,B,4,0.3636,The winter quarters roof panel came from batch,NY69,RS51,17.600282171391882
2,mismatched,B,5,0.4545,Ansel's transit permit was issued as document number,WS41,EL43,18.540953366202302
2,mismatched,B,6,0.5455,The harbour pilot's licence shows registration code,RJ73,JV63,16.694005350815132
2,mismatched,B,7,0.6364,The diesel storage tank is stencilled vessel number,SS55,WA99,18.354872626950964
2,mismatched,B,8,0.7273,The assay laboratory furnace is a model,MU81,TE95,18.25477622472681
2,mismatched,B,9,0.8182,The coastal watchtower is designated post,JR49,EF31,17.453559819608927
2,mismatched,B,10,0.9091,The eastern pumping station runs on circuit label,KY74,DQ91,23.695960870129056
2,mismatched,B,11,1.0,The shipment of core samples travelled under consignment code,TS74,HS14,16.10822325805202
3,cold,A,0,0.0,The shipment of core samples travelled under consignment code,HU79,SN92,-1.8722400665283203
3,cold,A,1,0.0909,The freight siding at Kelder appears on the plan as track,EM87,DV74,4.453205108642578
3,cold,A,2,0.1818,The signal lamp housing takes fitting code,RW84,JP91,0.4656953811645508
3,cold,A,3,0.2727,The coastal watchtower is designated post,CV11,KP43,-2.867461681365967
3,cold,A,4,0.3636,The winter supply manifest lists lot number,RJ80,SK80,0.048076629638671875
3,cold,A,5,0.4545,The ice core drilling rig was delivered as unit,HG70,LA63,-0.8989086151123047
3,cold,A,6,0.5455,The lighthouse relief roster follows schedule,TT70,UL12,-2.301173210144043
3,cold,A,7,0.6364,The harbour pilot's licence shows registration code,NW29,NV85,0.08127641677856445
3,cold,A,8,0.7273,The cartography office safe opens with combination,HW29,WE17,0.12145614624023438
3,cold,A,9,0.8182,The reserve fuel depot is listed at site code,SN11,WW52,0.4082984924316406
3,cold,A,10,0.9091,The medical supply locker was closed with seal number,XC30,QM96,-1.0385751724243164
3,cold,A,11,1.0,The diesel storage tank is stencilled vessel number,UB48,MV45,0.33149051666259766
3,cold,B,0,0.0,The expedition's spare sledge carries equipment tag,AJ70,UB96,16.324479462578893
3,cold,B,1,0.0909,The border checkpoint ledger opens at entry code,EM22,AM42,13.110029029892758
3,cold,B,2,0.1818,The meteorological buoy broadcasts on transponder code,BE73,UV50,15.875252158846706
3,cold,B,3,0.2727,The northern relay station operates under callsign,PW48,FM33,17.13822654460091
3,cold,B,4,0.3636,The radio operator's logbook continues in volume,PS59,LM86,15.713216980919242
3,cold,B,5,0.4545,The customs declaration quotes reference code,UM78,JK58,17.203474154172
3,cold,B,6,0.5455,The hydrographic chart set reached edition,UP84,DA82,14.639570953440852
3,cold,B,7,0.6364,The assay laboratory furnace is a model,HL97,KS38,17.276109544094652
3,cold,B,8,0.7273,The archive microfilm reel is filed under shelf mark,AJ87,LF96,16.25762837927323
3,cold,B,9,0.8182,The seismograph at Ridge Camp reports as instrument,XY30,PW99,18.282737299101427
3,cold,B,10,0.9091,Ansel's transit permit was issued as document number,KD18,DD86,16.780001187929884
3,cold,B,11,1.0,The botanical specimen case holds accession number,RW71,LL96,18.29916335688904
3,warm,A,0,0.0,The shipment of core samples travelled under consignment code,HU79,SN92,-0.9492278099060059
3,warm,A,1,0.0909,The freight siding at Kelder appears on the plan as track,EM87,DV74,2.397531509399414
3,warm,A,2,0.1818,The signal lamp housing takes fitting code,RW84,JP91,1.3922796249389648
3,warm,A,3,0.2727,The coastal watchtower is designated post,CV11,KP43,-3.2421011924743652
3,warm,A,4,0.3636,The winter supply manifest lists lot number,RJ80,SK80,0.29736852645874023
3,warm,A,5,0.4545,The ice core drilling rig was delivered as unit,HG70,LA63,0.1977696418762207
3,warm,A,6,0.5455,The lighthouse relief roster follows schedule,TT70,UL12,-0.34664487838745117
3,warm,A,7,0.6364,The harbour pilot's licence shows registration code,NW29,NV85,-0.026493549346923828
3,warm,A,8,0.7273,The cartography office safe opens with combination,HW29,WE17,0.13078594207763672
3,warm,A,9,0.8182,The reserve fuel depot is listed at site code,SN11,WW52,1.0344634056091309
3,warm,A,10,0.9091,The medical supply locker was closed with seal number,XC30,QM96,-0.03057241439819336
3,warm,A,11,1.0,The diesel storage tank is stencilled vessel number,UB48,MV45,0.8799028396606445
3,warm,B,0,0.0,The expedition's spare sledge carries equipment tag,AJ70,UB96,12.814688386395574
3,warm,B,1,0.0909,The border checkpoint ledger opens at entry code,EM22,AM42,9.45141420699656
3,warm,B,2,0.1818,The meteorological buoy broadcasts on transponder code,BE73,UV50,14.067092118784785
3,warm,B,3,0.2727,The northern relay station operates under callsign,PW48,FM33,13.875675525516272
3,warm,B,4,0.3636,The radio operator's logbook continues in volume,PS59,LM86,13.103528298437595
3,warm,B,5,0.4545,The customs declaration quotes reference code,UM78,JK58,14.695784607960377
3,warm,B,6,0.5455,The hydrographic chart set reached edition,UP84,DA82,12.409278880804777
3,warm,B,7,0.6364,The assay laboratory furnace is a model,HL97,KS38,15.524374060099944
3,warm,B,8,0.7273,The archive microfilm reel is filed under shelf mark,AJ87,LF96,14.921544753946364
3,warm,B,9,0.8182,The seismograph at Ridge Camp reports as instrument,XY30,PW99,18.70395718817599
3,warm,B,10,0.9091,Ansel's transit permit was issued as document number,KD18,DD86,16.544100758619606
3,warm,B,11,1.0,The botanical specimen case holds accession number,RW71,LL96,15.28369977651164
3,mismatched,A,0,0.0,The shipment of core samples travelled under consignment code,HU79,SN92,-1.1441264152526855
3,mismatched,A,1,0.0909,The freight siding at Kelder appears on the plan as track,EM87,DV74,2.7903943061828613
3,mismatched,A,2,0.1818,The signal lamp housing takes fitting code,RW84,JP91,1.1920833587646484
3,mismatched,A,3,0.2727,The coastal watchtower is designated post,CV11,KP43,-3.7615532875061035
3,mismatched,A,4,0.3636,The winter supply manifest lists lot number,RJ80,SK80,0.4771742820739746
3,mismatched,A,5,0.4545,The ice core drilling rig was delivered as unit,HG70,LA63,-0.23266839981079102
3,mismatched,A,6,0.5455,The lighthouse relief roster follows schedule,TT70,UL12,-0.16723060607910156
3,mismatched,A,7,0.6364,The harbour pilot's licence shows registration code,NW29,NV85,0.059173583984375
3,mismatched,A,8,0.7273,The cartography office safe opens with combination,HW29,WE17,-0.23179292678833008
3,mismatched,A,9,0.8182,The reserve fuel depot is listed at site code,SN11,WW52,0.48920726776123047
3,mismatched,A,10,0.9091,The medical supply locker was closed with seal number,XC30,QM96,-0.10009622573852539
3,mismatched,A,11,1.0,The diesel storage tank is stencilled vessel number,UB48,MV45,0.6279549598693848
3,mismatched,B,0,0.0,The expedition's spare sledge carries equipment tag,AJ70,UB96,14.949905534274876
3,mismatched,B,1,0.0909,The border checkpoint ledger opens at entry code,EM22,AM42,11.53947202861309
3,mismatched,B,2,0.1818,The meteorological buoy broadcasts on transponder code,BE73,UV50,13.748194873332977
3,mismatched,B,3,0.2727,The northern relay station operates under callsign,PW48,FM33,14.07059203274548
3,mismatched,B,4,0.3636,The radio operator's logbook continues in volume,PS59,LM86,13.318146347999573
3,mismatched,B,5,0.4545,The customs declaration quotes reference code,UM78,JK58,16.43137433807715
3,mismatched,B,6,0.5455,The hydrographic chart set reached edition,UP84,DA82,12.893559697084129
3,mismatched,B,7,0.6364,The assay laboratory furnace is a model,HL97,KS38,15.188282804330811
3,mismatched,B,8,0.7273,The archive microfilm reel is filed under shelf mark,AJ87,LF96,13.68442146340385
3,mismatched,B,9,0.8182,The seismograph at Ridge Camp reports as instrument,XY30,PW99,17.79575095884502
3,mismatched,B,10,0.9091,Ansel's transit permit was issued as document number,KD18,DD86,14.203954850323498
3,mismatched,B,11,1.0,The botanical specimen case holds accession number,RW71,LL96,16.646300903521478
4,cold,A,0,0.0,The survey team's theodolite bears serial number,HK23,DB17,0.0554959774017334
4,cold,A,1,0.0909,The freight siding at Kelder appears on the plan as track,EC18,VB79,1.4773178100585938
4,cold,A,2,0.1818,The meteorological buoy broadcasts on transponder code,AN80,LB25,-2.0212669372558594
4,cold,A,3,0.2727,The customs declaration quotes reference code,KB38,SK62,-0.41755104064941406
4,cold,A,4,0.3636,The hydrographic chart set reached edition,ST56,WG71,2.229001998901367
4,cold,A,5,0.4545,The coastal watchtower is designated post,GF49,GH66,0.8675136566162109
